Prognoseraum_ID,Prognoseraum,Bezirk_ID_FK
0110,Zentrum,01
0120,Moabit,01
0130,Gesundbrunnen,01
0140,Wedding,01
0210,Kreuzberg Nord,02
0220,Kreuzberg Süd,02
0230,Kreuzberg Ost,02
0240,Friedrichshain West,02
0250,Friedrichshain Ost,02
0310,Buch,03
0320,Nördliches Pankow,03
0330,Nördliches Weißensee,03
0340,Südliches Pankow,03
0350,Südliches Weißensee,03
0360,Nördlicher Prenzlauer Berg,03
0370,Südlicher Prenzlauer Berg,03
0410,Charlottenburg Nord,04
0420,Charlottenburg West,04
0430,Charlottenburg Zentrum,04
0440,Wilmersdorf Süd,04
0450,Wilmersdorf Zentrum,04
0510,Spandau Mitte / Nord,05
0520,Wilhelmstadt / Staaken,05
0530,Haselhorst / Siemensstadt,05
0540,Gatow / Kladow,05
0610,Steglitz,06
0620,Lankwitz/Lichterfelde Ost,06
0630,Zehlendorf Süd/Lichterfelde West,06
0640,Zehlendorf Nord/Wannsee,06
0710,Schöneberg Nord,07
0720,Schöneberg Süd,07
0730,Friedenau,07
0740,Tempelhof,07
0750,Mariendorf,07
0760,Marienfelde / Lichtenrade,07
0810,Neukölln,08
0820,Britz/Buckow,08
0830,Gropiusstadt,08
0840,Buckow Nord/Rudow,08
1010,Marzahn,10
1020,Hellersdorf,10
1030,Biesdorf,10
1040,Kaulsdorf/Mahlsdorf,10
0910,Treptow-Köpenick1,09
0920,Treptow-Köpenick2,09
0930,Treptow-Köpenick3,09
0940,Treptow-Köpenick4,09
0950,Treptow-Köpenick5,09
1210,Reinickendorf Ost,12
1220,Tegel,12
1240,Grüner Norden,12
1250,Wittenau/Borsigwalde,12
1260,Märkisches Viertel,12
1110,Hohenschönhausen Nord,11
1120,Hohenschönhausen Süd,11
1130,Lichtenber g Nord ,11
1140,Lichtenberg Mitte,11
1150,Lichtenberg Süd,11
